MIEJCOWOSC,NAZWA_ULICY,NUMER
Warszawa,ulica Jantar,11
Warszawa,ulica Jantar,3A
Warszawa,ulica Jantar,16
Warszawa,ulica Jantar,12
Warszawa,ulica Jantar,9
Warszawa,ulica Jantar,24
Warszawa,Aleje Jerozolimskie,172
Warszawa,Aleje Jerozolimskie,200A
Warszawa,Aleje Jerozolimskie,202A
Warszawa,Aleje Jerozolimskie,204
Warszawa,Aleje Jerozolimskie,202
Warszawa,Aleje Jerozolimskie,200
Warszawa,Aleje Jerozolimskie,193
Warszawa,Aleje Jerozolimskie,184
Warszawa,Aleje Jerozolimskie,211
Warszawa,ulica Kolneńska,19
Warszawa,ulica Kolneńska,3
Warszawa,ulica Kolneńska,6B
Warszawa,ulica Kolneńska,14
Warszawa,ulica Kolneńska,18
Warszawa,ulica Kolneńska,17
Warszawa,ulica Kolneńska,7
Warszawa,ulica Kolneńska,5
Warszawa,ulica Kolneńska,15
Warszawa,ulica Kolneńska,13
Warszawa,ulica Kolneńska,16
Warszawa,ulica Kolneńska,9
Warszawa,ulica Kolneńska,11
Warszawa,ulica Krzysztofa Kolumba,17
Warszawa,ulica Krzysztofa Kolumba,21
Warszawa,ulica Krzysztofa Kolumba,8
Warszawa,ulica Krzysztofa Kolumba,11
Warszawa,ulica Krzysztofa Kolumba,25
Warszawa,ulica Krzysztofa Kolumba,4A
Warszawa,ulica Krzysztofa Kolumba,6
Warszawa,ulica Krzysztofa Kolumba,61
Warszawa,ulica Krzysztofa Kolumba,29
Warszawa,ulica Krzysztofa Kolumba,16
Warszawa,ulica Krzysztofa Kolumba,57
Warszawa,Aleja Krakowska,109A
Warszawa,Aleja Krakowska,106
Warszawa,Aleja Krakowska,102
Warszawa,Aleja Krakowska,100B
Warszawa,Aleja Krakowska,100A
Warszawa,ulica Józefa Ignacego Kraszewskiego,33
Warszawa,ulica Józefa Ignacego Kraszewskiego,31
Warszawa,ulica Józefa Ignacego Kraszewskiego,20A
Warszawa,ulica Józefa Ignacego Kraszewskiego,11A
Warszawa,ulica Józefa Ignacego Kraszewskiego,38
Warszawa,ulica Nike,38
Warszawa,ulica Nike,16A
Warszawa,ulica Nike,43
Warszawa,ulica Nike,15
Warszawa,ulica Nike,21
Warszawa,ulica Nike,30
Warszawa,ulica Nike,27
Warszawa,ulica Nike,34/36
Warszawa,ulica Nike,13
Warszawa,ulica Józefa Ignacego Kraszewskiego,22
Warszawa,ulica Bolesława Gidzińskiego,7
Warszawa,ulica Bolesława Gidzińskiego,5
Warszawa,ulica Bolesława Gidzińskiego,3
Warszawa,ulica Bolesława Gidzińskiego,1A
Warszawa,ulica Bolesława Gidzińskiego,1B
Warszawa,ulica Bolesława Gidzińskiego,1
Warszawa,ulica Globusowa,24
Warszawa,ulica Globusowa,8
Warszawa,ulica Globusowa,23
Warszawa,ulica Globusowa,46
Warszawa,ulica Globusowa,38
Warszawa,ulica Globusowa,13
Warszawa,ulica Przyłęcka,10
Warszawa,ulica Przyłęcka,8
Warszawa,ulica Przyłęcka,17
Warszawa,ulica Mikołajska,7B
Warszawa,ulica Mikołajska,11A
Warszawa,ulica Mikołajska,18
Warszawa,ulica Mikołajska,16
Warszawa,ulica Mikołajska,15
Warszawa,ulica Mikołajska,13
Warszawa,ulica Mikołajska,11
Warszawa,ulica Mikołajska,24
Warszawa,ulica Mikołajska,8A
Warszawa,ulica Mikołajska,22
Warszawa,ulica Mikołajska,35
Warszawa,ulica Mikołajska,39
Warszawa,ulica Mikołajska,29
Warszawa,ulica Mikołajska,8
Warszawa,ulica Mikołajska,38B
Warszawa,ulica Mikołajska,38C
Warszawa,ulica Milanowska,14
Warszawa,ulica Milanowska,20A
Warszawa,ulica Milanowska,22
Warszawa,ulica Milanowska,19
Warszawa,ulica Milanowska,9
Warszawa,ulica Milanowska,10
Warszawa,ulica Milanowska,12A
Warszawa,ulica Nike,24
Warszawa,ulica Nike,11
Warszawa,ulica Nike,25
Warszawa,ulica Nike,39
Warszawa,ulica Nike,39A
Warszawa,ulica Nike,29
Warszawa,ulica Nike,26
Warszawa,ulica Nike,31
Warszawa,ulica Nike,47
Warszawa,ulica Nike,43A
Warszawa,ulica Nike,22
Warszawa,ulica Nike,16
Warszawa,ulica Nike,6
Warszawa,ulica Nike,41A
Warszawa,ulica Nike,41
Warszawa,ulica Płomyka,58
Warszawa,ulica Płomyka,2
Warszawa,ulica Płomyka,54
Warszawa,ulica Płomyka,29
Warszawa,ulica Płomyka,1
Warszawa,ulica Płomyka,43
Warszawa,ulica Płomyka,11B
Warszawa,ulica Płomyka,11A
Warszawa,ulica Płomyka,13
Warszawa,ulica Nike,9
Warszawa,ulica Nike,17
Warszawa,ulica Nike,19
Warszawa,ulica Nike,35
Warszawa,ulica Popularna,48
Warszawa,ulica Popularna,34A
Warszawa,ulica Popularna,41
Warszawa,ulica Popularna,17A
Warszawa,ulica Popularna,15A
Warszawa,ulica Popularna,55
Warszawa,ulica Popularna,64
Warszawa,ulica Popularna,72
Warszawa,ulica Popularna,30
Warszawa,ulica Popularna,16
Warszawa,ulica Popularna,18
Warszawa,ulica Popularna,43
Warszawa,ulica Popularna,24
Warszawa,ulica Popularna,14
Warszawa,ulica Popularna,31
Warszawa,ulica Popularna,29
Warszawa,ulica Popularna,23
Warszawa,ulica Popularna,58
Warszawa,ulica Popularna,43A
Warszawa,ulica Popularna,47
Warszawa,ulica Popularna,45
Warszawa,ulica Popularna,40
Warszawa,ulica Popularna,71
Warszawa,ulica Popularna,60
Warszawa,ulica Popularna,54
Warszawa,ulica Płomyka,42
Warszawa,ulica Płomyka,40
Warszawa,ulica Płomyka,38
Warszawa,ulica Płomyka,36
Warszawa,ulica Płomyka,32
Warszawa,ulica Płomyka,30
Warszawa,ulica Płomyka,28
Warszawa,ulica Płomyka,26
Warszawa,ulica Płomyka,24
Warszawa,ulica Płomyka,22
Warszawa,ulica Płomyka,31
Warszawa,ulica Płomyka,33
Warszawa,ulica Płomyka,14
Warszawa,ulica Płomyka,12
Warszawa,ulica Płomyka,17
Warszawa,ulica Płomyka,34
Warszawa,ulica Płomyka,1A
Warszawa,ulica Płomyka,8E
Warszawa,ulica Popularna,49
Warszawa,ulica Popularna,62A
Warszawa,ulica Popularna,46
Warszawa,ulica Popularna,9/11
Warszawa,ulica Popularna,18A
Warszawa,ulica Popularna,19
Warszawa,ulica Popularna,17
Warszawa,ulica Popularna,22
Warszawa,ulica Popularna,20
Warszawa,ulica Popularna,42
Warszawa,ulica Popularna,45A
Warszawa,ulica Popularna,21A
Warszawa,ulica Popularna,14B
Warszawa,ulica Przyłęcka,45
Warszawa,ulica Płomyka,9
Warszawa,ulica Płomyka,3
Warszawa,ulica Notecka,14
Warszawa,ulica Notecka,15
Warszawa,ulica Notecka,22
Warszawa,ulica Notecka,12
Warszawa,ulica Notecka,29
Warszawa,ulica Notecka,13
Warszawa,ulica Notecka,7
Warszawa,ulica Notecka,5
Warszawa,ulica Popularna,15
Warszawa,ulica Płomyka,15A
Warszawa,ulica Płomyka,15
Warszawa,ulica Płomyka,56A
Warszawa,ulica Płomyka,56
Warszawa,ulica Płomyka,20
Warszawa,ulica Płomyka,44
Warszawa,ulica Płomyka,41
Warszawa,ulica Płomyka,39
Warszawa,ulica Płomyka,37
Warszawa,ulica Płomyka,35
Warszawa,ulica Płomyka,50
Warszawa,ulica Płomyka,48
Warszawa,ulica Płomyka,46
Warszawa,ulica Milanowska,12
Warszawa,ulica Milanowska,18
Warszawa,ulica Milanowska,25
Warszawa,ulica Milanowska,24
Warszawa,ulica Milanowska,13
Warszawa,ulica Milanowska,4
Warszawa,ulica Milanowska,8A
Warszawa,ulica Milanowska,23A
Warszawa,ulica Milanowska,14A
Warszawa,ulica Milanowska,27
Warszawa,ulica Milanowska,7
Warszawa,ulica Milanowska,11
Warszawa,ulica Milanowska,6
Warszawa,ulica Milanowska,33
Warszawa,ulica Milanowska,5
Warszawa,ulica Milanowska,8
Warszawa,ulica Milanowska,15
Warszawa,ulica Milanowska,29
Warszawa,ulica Milanowska,28
Warszawa,ulica Milanowska,17
Warszawa,ulica Milanowska,16
Warszawa,ulica Milanowska,23
Warszawa,ulica Milanowska,21
Warszawa,ulica Nike,27A
Warszawa,ulica Nike,18
Warszawa,ulica Nike,4
Warszawa,ulica Nike,2
Warszawa,ulica Nike,20
Warszawa,ulica Nike,7
Warszawa,ulica Nike,33
Warszawa,ulica Notecka,17
Warszawa,ulica Notecka,11
Warszawa,ulica Notecka,31A
Warszawa,ulica Notecka,31
Warszawa,ulica Notecka,21A
Warszawa,ulica Notecka,21
Warszawa,ulica Notecka,10
Warszawa,ulica Notecka,14A
Warszawa,ulica Notecka,12A
Warszawa,ulica Notecka,39
Warszawa,ulica Notecka,16A
Warszawa,ulica Wolska,195
Warszawa,ulica Wolska,88
Warszawa,ulica Wolska,68/72
Warszawa,ulica Wolska,76
Warszawa,ulica Wolska,186
Warszawa,ulica Wolska,47
Warszawa,ulica Wolska,138/140
Warszawa,ulica Wolska,46/48
Warszawa,ulica Wolska,44
Warszawa,ulica Popularna,12
Warszawa,ulica Popularna,63
Warszawa,ulica Popularna,61
Warszawa,ulica Popularna,57
Warszawa,ulica Popularna,49A
Warszawa,ulica Popularna,36
Warszawa,ulica Popularna,34
Warszawa,ulica Popularna,21
Warszawa,ulica Popularna,82
Warszawa,ulica Władysława Przanowskiego,6
Warszawa,ulica Władysława Przanowskiego,35
Warszawa,ulica Władysława Przanowskiego,37
Warszawa,ulica Władysława Przanowskiego,39
Warszawa,ulica Smocza,6
Warszawa,ulica Smocza,18
Warszawa,ulica Smocza,27
Warszawa,ulica Smocza,21
Warszawa,ulica Smocza,20
Warszawa,ulica Smocza,17
Warszawa,ulica Smocza,18A
Warszawa,ulica Smocza,29
Warszawa,ulica Smocza,16A
Warszawa,ulica Smocza,22A
Warszawa,ulica Smocza,22
Warszawa,ulica Smocza,14
Warszawa,ulica Smocza,14A
Warszawa,ulica Smocza,3
Warszawa,ulica Smocza,16
Warszawa,ulica Smocza,1
Warszawa,ulica Smocza,20A
Warszawa,ulica Smocza,19
Warszawa,ulica Smocza,26
Warszawa,ulica Smocza,24
Warszawa,ulica Smocza,30
Warszawa,ulica Smocza,11
Warszawa,ulica Stanisława Smolki,9
Warszawa,ulica Sokołowska,22
Warszawa,ulica Sokołowska,14
Warszawa,ulica Sokołowska,6
Warszawa,ulica Szarych Szeregów,5BN
Warszawa,ulica Szarych Szeregów,5BM
Warszawa,ulica Szarych Szeregów,5BL
Warszawa,ulica Szarych Szeregów,5BK
Warszawa,ulica Szarych Szeregów,5BJ
Warszawa,ulica Szarych Szeregów,5BH
Warszawa,ulica Szarych Szeregów,5BG
Warszawa,ulica Szarych Szeregów,5BF
Warszawa,ulica Szarych Szeregów,5BE
Warszawa,ulica Szarych Szeregów,5BD
Warszawa,ulica Szarych Szeregów,5BC
Warszawa,ulica Szarych Szeregów,5BB
Warszawa,ulica Szarych Szeregów,5BA
Warszawa,ulica Szarych Szeregów,5B
Warszawa,ulica Szarych Szeregów,5AT
Warszawa,ulica Szarych Szeregów,5AS
Warszawa,ulica Szarych Szeregów,5AR
Warszawa,ulica Szarych Szeregów,5AP
Warszawa,ulica Szarych Szeregów,5AN
Warszawa,ulica Szarych Szeregów,5AM
Warszawa,ulica Wolska,113A
Warszawa,ulica Wolska,193
Warszawa,ulica Wolska,31
Warszawa,ulica Wolska,191
Warszawa,ulica Sokołowska,5EA
Warszawa,ulica Sokołowska,5EB
Warszawa,ulica Szarych Szeregów,5AL
Warszawa,ulica Szarych Szeregów,5AK
Warszawa,ulica Szarych Szeregów,5AJ
Warszawa,ulica Szarych Szeregów,5AH
Warszawa,ulica Szarych Szeregów,5AG
Warszawa,ulica Szarych Szeregów,5AF
Warszawa,ulica Szarych Szeregów,5AE
Warszawa,ulica Wolska,50
Warszawa,ulica Wolska,27/29
Warszawa,ulica Wolska,40
Warszawa,ulica Wolska,5/13
Warszawa,ulica Wolska,17
Warszawa,ulica Wolska,89
Warszawa,ulica Wolska,84/86
Warszawa,ulica Wolska,78/80
Warszawa,ulica Wolska,82
Warszawa,ulica Wolska,115A
Warszawa,ulica Wolska,113
Warszawa,ulica Wolska,111
Warszawa,ulica Wolska,109
Warszawa,ulica Władysława Przanowskiego,41
Warszawa,ulica Władysława Przanowskiego,43
Warszawa,ulica Władysława Przanowskiego,45
Warszawa,ulica Władysława Przanowskiego,47
Warszawa,ulica Władysława Przanowskiego,49
Warszawa,ulica Władysława Przanowskiego,51
Warszawa,ulica Władysława Przanowskiego,15
Warszawa,ulica Władysława Przanowskiego,5
Warszawa,ulica Władysława Przanowskiego,7
Warszawa,ulica Władysława Przanowskiego,9
Warszawa,ulica Władysława Przanowskiego,11
Warszawa,ulica Władysława Przanowskiego,13
Warszawa,ulica Władysława Przanowskiego,17
Warszawa,ulica Władysława Przanowskiego,21
Warszawa,ulica Władysława Przanowskiego,23
Warszawa,ulica Władysława Przanowskiego,25
Warszawa,ulica Władysława Przanowskiego,27
Warszawa,ulica Władysława Przanowskiego,29
Warszawa,ulica Władysława Przanowskiego,31
Warszawa,ulica Władysława Przanowskiego,33
Warszawa,ulica Sokołowska,8
Warszawa,ulica Sokołowska,13
Warszawa,ulica Sokołowska,11
Warszawa,ulica Sokołowska,5BA
Warszawa,ulica Sokołowska,41
Warszawa,ulica Sokołowska,39
Warszawa,ulica Sokołowska,10
Warszawa,ulica Sokołowska,20
Warszawa,ulica Sokołowska,7B
Warszawa,ulica Sokołowska,9
Warszawa,ulica Sokołowska,24/26
Warszawa,ulica Sokołowska,5
Warszawa,ulica Sokołowska,12A
Warszawa,ulica Sokołowska,25G
Warszawa,ulica Sokołowska,25F
Warszawa,ulica Sokołowska,25E
Warszawa,ulica Sokołowska,25D
Warszawa,ulica Sokołowska,25C
Warszawa,ulica Sokołowska,25B
Warszawa,ulica Sokołowska,25A
Warszawa,ulica Sokołowska,5E
Warszawa,ulica Mikołajska,27
Warszawa,ulica Mikołajska,44
Warszawa,ulica Mikołajska,55
Warszawa,ulica Mikołajska,10A
Warszawa,ulica Mikołajska,10
Warszawa,ulica Mikołajska,14
Warszawa,ulica Mikołajska,57
Warszawa,ulica Mikołajska,45
Warszawa,ulica Mikołajska,45A
Warszawa,ulica Szarych Szeregów,5AD
Warszawa,ulica Szarych Szeregów,5AC
Warszawa,ulica Szarych Szeregów,5AB
Warszawa,ulica Szarych Szeregów,5AA
Warszawa,ulica Szarych Szeregów,5A
Warszawa,ulica Jana Szałka,4
Warszawa,ulica Jana Szałka,6
Warszawa,ulica Szańcowa,11A
Warszawa,ulica Szańcowa,44
Warszawa,ulica Szańcowa,19A
